"","X","ID","SURVEY1w7","PARENTw7","BRT1Aw7","BRT2Aw7","BRT2Bw7","ARA2Aw7","ARA2Bw7","HOUSEw7","HAK2Aw7","HAK2Bw7","JOB1Aw7","JOB1Bw7","JOB4Aw7","JOB4Bw7","INCOMEw7","INCOME1w7","PAR2w7","PHY1Aw7","PHY1Bw7","PHY3Aw7","PSY1A06w7","PSY1A07w7","PSY1B01w7","PSY1B02w7","PSY1B03w7","PSY1B04w7","PSY1B05w7","PSY1B06w7","PSY1D01w7","PSY1D02w7","PSY1D03w7","PSY1D04w7","PSY1D05w7","PSY1E01w7","PSY1E02w7","PSY1E03w7","PSY1E04w7","PSY1E05w7","PSY1E06w7","PSY1E07w7","PSY1E08w7","PSY1E09w7","PSY1E10w7","PSY2A01w7","PSY2A02w7","PSY2A03w7","PSY2A04w7","PSY2A05w7","PSY2A06w7","PSY2A07w7","PSY2A08w7","PSY2A09w7","PSY2A10w7","PSY3B01w7","PSY3B02w7","PSY3B03w7","FAM1Aw7","FAM1Bw7","FAM1Cw7","FAM1Dw7","FAM3A04w7","FAM3B01w7","FAM3B02w7","FAM3B03w7","FAM3B04w7","abuse_sum"
"11",13,15316,"조사성공","어머니",2003,1967,1970,"서울특별시",1011,"연립 주택","고졸","고졸","일을 하고 있다","일을 하고 있다","판매종사자","서비스종사자",1600,"보통(중간) 수준","만족하는 편이다",155,52,"건강한 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"12",14,15317,"조사성공","어머니",2003,1965,1972,"인천광역시",2207,"아파트","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","서비스종사자","단순노무종사자",2500,"약간 잘 사는 편","만족하는 편이다",154,42,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","매우 그렇다",1,1,1,1,4
"13",15,15318,"조사성공","어머니",2003,1974,1974,"서울특별시",1011,"아파트","대졸","대학원 졸","일을 하고 있다","일을 하고 있지 않다","관리자",NA,7500,"약간 잘 사는 편","만족하는 편이다",169,48,"건강한 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",1,1,2,1,5
"14",16,15319,"조사성공","어머니",2003,1975,1975,"서울특별시",1011,"연립 주택","고졸","고졸","일을 하고 있다","일을 하고 있다","판매종사자","단순노무종사자",3000,"보통(중간) 수준","만족하는 편이다",154,49,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","매우 그렇다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,1,7
"15",17,15401,"조사성공","어머니",2003,1972,1971,"전라남도",3522,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다",NA,NA,3500,"잘 사는 편","만족하는 편이다",165,70,"매우 건강하다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"16",19,15404,"조사성공","어머니",2003,1969,1972,"서울특별시",1013,"아파트","대학원 졸","대졸","일을 하고 있다","일을 하고 있다","사무종사자","사무종사자",10000,"약간 못 사는 편","만족하는 편이다",162,43,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","매우 그렇다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","매우 그렇다",1,1,1,1,4
"17",20,15405,"조사성공","어머니",2003,1969,1971,"서울특별시",1013,"단독 주택","대졸","대졸","일을 하고 있다","일을 하고 있다","사무종사자","사무종사자",10000,"약간 잘 사는 편","만족하는 편이다",166,48,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,2,6
"18",22,15407,"조사성공","어머니",2003,1970,1971,"서울특별시",1014,"연립 주택","고졸","전문대 졸","일을 하고 있다","일을 하고 있다","판매종사자","사무종사자",10000,"잘 사는 편","만족하는 편이다",169,50,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,1,1,1,6
"19",25,15411,"조사성공","어머니",2003,1971,1977,"서울특별시",1013,"아파트","대학원 졸","대졸","일을 하고 있다","일을 하고 있다","사무종사자","사무종사자",9000,"보통(중간) 수준","만족하는 편이다",165,58,"건강한 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","그런 편이다",3,1,1,1,6
"20",26,15412,"조사성공","어머니",2003,1972,1973,"서울특별시",1014,"연립 주택","고졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","사무종사자",NA,2500,"보통(중간) 수준","만족하는 편이다",151,44,"건강한 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"21",28,15414,"조사성공","어머니",2003,1967,1966,"서울특별시",1013,"아파트","대학원 졸","대학원 졸","일을 하고 있다","일을 하고 있다","판매종사자","전문가 및 관련종사자",6000,"보통(중간) 수준","만족하는 편이다",152,41,"건강한 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","매우 그렇다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","그렇지 않은 편이다","그렇지 않은 편이다","매우 그렇다","그렇지 않은 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"22",29,15415,"조사성공","어머니",2003,1970,1969,"서울특별시",1013,"연립 주택","대졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","서비스종사자",NA,4000,"보통(중간) 수준","만족하는 편이다",153,48,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,2,1,1,7
"23",30,15416,"조사성공","어머니",2003,1974,1974,"서울특별시",1014,"단독 주택","대졸","고졸","일을 하고 있다","일을 하고 있다","판매종사자","판매종사자",5000,"보통(중간) 수준","만족하는 편이다",170,84,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","매우 그렇다",3,3,2,2,10
